module,table,id,name,created_type,created_at,updated_at,association_count
Product Pool,products,1,高性能CPU处理器,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Product Pool,products,2,32GB DDR5内存条,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Product Pool,products,3,2TB NVMe固态硬盘,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Product Pool,products,4,精密轴承,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,5,Warehouse_5,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,6,Warehouse_6,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,7,Warehouse_7,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,8,Warehouse_8,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,9,Warehouse_9,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
Warehouse Management,warehouses,10,Warehouse_10,import,2026-02-12 09:08:35,2026-02-12 10:10:32,0
